model_id,angle_deg,twist_deg,rise_A,candidate_id,source_pdb,xyz_file,xyz_atom_count,diffraction_status,diffraction_file,diffraction_png,diffraction_json,radial_csv,radial_csv_exists,model_status,smoke_grid_size,smoke_grid_limit_mm,smoke_theta_count,smoke_phi_count,smoke_psi_count,smoke_theta_max,smoke_orientation_count,notes
angle27_cand0,27,27,3.4,cand0,inputs/asem_sidechains_20260625/raw/27/cand0/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand0.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand0.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand0.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand0.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand0_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand1,27,27,3.4,cand1,inputs/asem_sidechains_20260625/raw/27/cand1/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand1.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand1.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand1.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand1.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand1_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand10,27,27,3.4,cand10,inputs/asem_sidechains_20260625/raw/27/cand10/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand10.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand10.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand10.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand10.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand10_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand11,27,27,3.4,cand11,inputs/asem_sidechains_20260625/raw/27/cand11/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand11.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand11.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand11.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand11.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand11_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand12,27,27,3.4,cand12,inputs/asem_sidechains_20260625/raw/27/cand12/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand12.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand12.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand12.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand12.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand12_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand13,27,27,3.4,cand13,inputs/asem_sidechains_20260625/raw/27/cand13/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand13.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand13.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand13.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand13.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand13_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand14,27,27,3.4,cand14,inputs/asem_sidechains_20260625/raw/27/cand14/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand14.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand14.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand14.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand14.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand14_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand15,27,27,3.4,cand15,inputs/asem_sidechains_20260625/raw/27/cand15/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand15.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand15.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand15.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand15.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand15_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand16,27,27,3.4,cand16,inputs/asem_sidechains_20260625/raw/27/cand16/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand16.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand16.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand16.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand16.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand16_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand17,27,27,3.4,cand17,inputs/asem_sidechains_20260625/raw/27/cand17/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand17.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand17.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand17.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand17.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand17_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand18,27,27,3.4,cand18,inputs/asem_sidechains_20260625/raw/27/cand18/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand18.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand18.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand18.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand18.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand18_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand19,27,27,3.4,cand19,inputs/asem_sidechains_20260625/raw/27/cand19/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand19.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand19.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand19.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand19.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand19_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand2,27,27,3.4,cand2,inputs/asem_sidechains_20260625/raw/27/cand2/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand2.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand2.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand2.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand2.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand2_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand20,27,27,3.4,cand20,inputs/asem_sidechains_20260625/raw/27/cand20/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand20.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand20.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand20.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand20.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand20_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand21,27,27,3.4,cand21,inputs/asem_sidechains_20260625/raw/27/cand21/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand21.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand21.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand21.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand21.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand21_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand22,27,27,3.4,cand22,inputs/asem_sidechains_20260625/raw/27/cand22/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand22.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand22.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand22.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand22.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand22_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand23,27,27,3.4,cand23,inputs/asem_sidechains_20260625/raw/27/cand23/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand23.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand23.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand23.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand23.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand23_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand24,27,27,3.4,cand24,inputs/asem_sidechains_20260625/raw/27/cand24/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand24.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand24.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand24.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand24.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand24_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand25,27,27,3.4,cand25,inputs/asem_sidechains_20260625/raw/27/cand25/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand25.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand25.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand25.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand25.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand25_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand26,27,27,3.4,cand26,inputs/asem_sidechains_20260625/raw/27/cand26/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand26.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand26.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand26.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand26.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand26_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand27,27,27,3.4,cand27,inputs/asem_sidechains_20260625/raw/27/cand27/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand27.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand27.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand27.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand27.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand27_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand28,27,27,3.4,cand28,inputs/asem_sidechains_20260625/raw/27/cand28/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand28.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand28.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand28.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand28.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand28_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand29,27,27,3.4,cand29,inputs/asem_sidechains_20260625/raw/27/cand29/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand29.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand29.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand29.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand29.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand29_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand3,27,27,3.4,cand3,inputs/asem_sidechains_20260625/raw/27/cand3/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand3.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand3.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand3.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand3.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand3_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand30,27,27,3.4,cand30,inputs/asem_sidechains_20260625/raw/27/cand30/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand30.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand30.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand30.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand30.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand30_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand31,27,27,3.4,cand31,inputs/asem_sidechains_20260625/raw/27/cand31/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand31.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand31.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand31.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand31.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand31_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand32,27,27,3.4,cand32,inputs/asem_sidechains_20260625/raw/27/cand32/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand32.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand32.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand32.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand32.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand32_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand33,27,27,3.4,cand33,inputs/asem_sidechains_20260625/raw/27/cand33/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand33.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand33.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand33.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand33.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand33_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand34,27,27,3.4,cand34,inputs/asem_sidechains_20260625/raw/27/cand34/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand34.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand34.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand34.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand34.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand34_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand35,27,27,3.4,cand35,inputs/asem_sidechains_20260625/raw/27/cand35/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand35.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand35.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand35.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand35.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand35_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand36,27,27,3.4,cand36,inputs/asem_sidechains_20260625/raw/27/cand36/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand36.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand36.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand36.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand36.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand36_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand37,27,27,3.4,cand37,inputs/asem_sidechains_20260625/raw/27/cand37/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand37.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand37.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand37.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand37.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand37_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand4,27,27,3.4,cand4,inputs/asem_sidechains_20260625/raw/27/cand4/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand4.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand4.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand4.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand4.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand4_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand5,27,27,3.4,cand5,inputs/asem_sidechains_20260625/raw/27/cand5/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand5.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand5.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand5.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand5.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand5_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand6,27,27,3.4,cand6,inputs/asem_sidechains_20260625/raw/27/cand6/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand6.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand6.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand6.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand6.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand6_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand7,27,27,3.4,cand7,inputs/asem_sidechains_20260625/raw/27/cand7/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand7.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand7.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand7.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand7.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand7_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand8,27,27,3.4,cand8,inputs/asem_sidechains_20260625/raw/27/cand8/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand8.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand8.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand8.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand8.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand8_radial.csv,True,complete,33,100,2,4,1,180,8,
angle27_cand9,27,27,3.4,cand9,inputs/asem_sidechains_20260625/raw/27/cand9/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle27_cand9.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand9.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand9.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle27_cand9.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle27_cand9_radial.csv,True,complete,33,100,2,4,1,180,8,
angle28_cand0,28,28,3.4,cand0,inputs/asem_sidechains_20260625/raw/28/cand0/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle28_cand0.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand0.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand0.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand0.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle28_cand0_radial.csv,True,complete,33,100,2,4,1,180,8,
angle28_cand1,28,28,3.4,cand1,inputs/asem_sidechains_20260625/raw/28/cand1/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle28_cand1.xyz,2310,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand1.npy,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand1.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand1.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle28_cand1_radial.csv,True,complete,33,100,2,4,1,180,8,
