model_id,twist_deg,rise_A,candidate_id,xyz_file,corrected_diffraction_npy,corrected_diffraction_png,corrected_diffraction_json,radial_profile_csv,status,runtime_seconds,notes
angle29_cand0,29,3.38,cand0,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand0.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand0.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand0.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand0.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand0_radial.csv,complete,1.739169800,
angle29_cand1,29,3.38,cand1,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand1.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand1.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand1.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand1.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand1_radial.csv,complete,1.557453900,
angle29_cand2,29,3.38,cand2,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand2.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand2.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand2.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand2.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand2_radial.csv,complete,1.540225100,
angle29_cand3,29,3.38,cand3,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand3.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand3.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand3.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand3.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand3_radial.csv,complete,1.547647100,
angle29_cand4,29,3.38,cand4,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand4.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand4.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand4.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand4.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand4_radial.csv,complete,1.501979000,
angle29_cand5,29,3.38,cand5,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand5.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand5.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand5.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand5.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand5_radial.csv,complete,1.487294400,
angle29_cand6,29,3.38,cand6,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand6.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand6.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand6.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand6.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand6_radial.csv,complete,1.477469401,
angle29_cand7,29,3.38,cand7,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand7.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand7.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand7.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand7.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand7_radial.csv,complete,1.487369900,
angle29_cand8,29,3.38,cand8,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand8.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand8.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand8.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand8.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand8_radial.csv,complete,1.503246500,
angle29_cand9,29,3.38,cand9,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand9.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand9.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand9.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand9.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand9_radial.csv,complete,1.514136100,
angle29_cand10,29,3.38,cand10,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand10.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand10.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand10.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand10.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand10_radial.csv,complete,1.530897500,
angle29_cand11,29,3.38,cand11,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand11.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand11.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand11.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand11.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand11_radial.csv,complete,1.482549300,
angle29_cand12,29,3.38,cand12,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand12.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand12.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand12.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand12.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand12_radial.csv,complete,1.489549200,
angle29_cand13,29,3.38,cand13,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle29_cand13.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand13.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand13.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle29_cand13.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle29_cand13_radial.csv,complete,1.515601300,
angle30_cand0,30,3.38,cand0,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand0.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand0.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand0.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand0.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand0_radial.csv,complete,1.527499900,
angle30_cand1,30,3.38,cand1,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand1.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand1.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand1.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand1.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand1_radial.csv,complete,1.516124500,
angle30_cand2,30,3.38,cand2,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand2.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand2.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand2.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand2.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand2_radial.csv,complete,1.499456300,
angle30_cand3,30,3.38,cand3,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand3.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand3.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand3.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand3.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand3_radial.csv,complete,1.513798800,
angle30_cand4,30,3.38,cand4,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand4.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand4.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand4.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand4.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand4_radial.csv,complete,1.510502300,
angle30_cand5,30,3.38,cand5,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand5.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand5.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand5.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand5.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand5_radial.csv,complete,1.494038301,
angle30_cand6,30,3.38,cand6,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand6.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand6.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand6.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand6.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand6_radial.csv,complete,1.486630499,
angle30_cand7,30,3.38,cand7,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand7.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand7.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand7.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand7.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand7_radial.csv,complete,1.528295800,
angle30_cand8,30,3.38,cand8,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand8.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand8.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand8.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand8.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand8_radial.csv,complete,1.555394900,
angle30_cand9,30,3.38,cand9,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/xyz/angle30_cand9.xyz,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand9.npy,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand9.png,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/corrected_diffraction/angle30_cand9.json,outputs/asem_sidechains_3p38_20260626/stage1_29_30_31_glu/radial_profiles/angle30_cand9_radial.csv,complete,1.552585000,
